"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb. Industrial","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","840.283833637652667","TON"
"Highway Vehicles","CA","06","San Diego","073","PM2.5 Primary (Filt + Cond)","CAP","827.54506806","TON"
"Highway Vehicles","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","802.31398828","TON"
"Fuel Comb. Other","CA","06","San Diego","073","PM2.5 Primary (Filt + Cond)","CAP","788.08425148952","TON"
"Miscellaneous","CA","06","Santa Clara","085","PM2.5 Primary (Filt + Cond)","CAP","780.3996953537","TON"
"Miscellaneous","CA","06","Calaveras","009","PM2.5 Primary (Filt + Cond)","CAP","779.044809927971","TON"
"Fuel Comb. Other","CA","06","Santa Clara","085","PM2.5 Primary (Filt + Cond)","CAP","778.46438552","TON"
"Highway Vehicles","CA","06","Riverside","065","PM2.5 Primary (Filt + Cond)","CAP","761.195637912","TON"
"Highway Vehicles","CA","06","Orange","059","PM2.5 Primary (Filt + Cond)","CAP","742.7601427932","TON"
"Fuel Comb. Other","CA","06","Ventura","111","PM2.5 Primary (Filt + Cond)","CAP","715.97552774032","TON"
"Miscellaneous","CA","06","Colusa","011","PM2.5 Primary (Filt + Cond)","CAP","687.429257075686","TON"
"Other Industrial Processes","CA","06","Riverside","065","PM2.5 Primary (Filt + Cond)","CAP","685.3233855189","TON"
"Fuel Comb. Other","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","675.68273051367","TON"
"Petroleum & Related Industries","CA","06","Contra Costa","013","PM2.5 Primary (Filt + Cond)","CAP","672.6883439916","TON"
"Miscellaneous","CA","06","San Luis Obispo","079","PM2.5 Primary (Filt + Cond)","CAP","667.08090688445","TON"
"Miscellaneous","CA","06","Yuba","115","PM2.5 Primary (Filt + Cond)","CAP","661.584232486782","TON"
"Miscellaneous","CA","06","Glenn","021","PM2.5 Primary (Filt + Cond)","CAP","644.559311752508","TON"
"Fuel Comb. Other","CA","06","Sonoma","097","PM2.5 Primary (Filt + Cond)","CAP","594.701518035","TON"
"Off-Highway","CA","06","San Diego","073","PM2.5 Primary (Filt + Cond)","CAP","578.97057296201","TON"
"Miscellaneous","CA","06","Alameda","001","PM2.5 Primary (Filt + Cond)","CAP","569.8206605337","TON"
"Other Industrial Processes","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","564.20486045075913","TON"
"Fuel Comb. Other","CA","06","Placer","061","PM2.5 Primary (Filt + Cond)","CAP","560.12413679668","TON"
"Fuel Comb. Other","CA","06","Butte","007","PM2.5 Primary (Filt + Cond)","CAP","546.960138549","TON"
"Fuel Comb. Other","CA","06","Riverside","065","PM2.5 Primary (Filt + Cond)","CAP","545.70381621563","TON"
"Off-Highway","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","540.08091785635","TON"
"Fuel Comb. Other","CA","06","Alameda","001","PM2.5 Primary (Filt + Cond)","CAP","525.261726397","TON"
"Other Industrial Processes","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","523.5457138575517","TON"
"Other Industrial Processes","CA","06","Sacramento","067","PM2.5 Primary (Filt + Cond)","CAP","507.092661182","TON"
"Other Industrial Processes","CA","06","Santa Clara","085","PM2.5 Primary (Filt + Cond)","CAP","506.769054778","TON"
"Miscellaneous","CA","06","Sierra","091","PM2.5 Primary (Filt + Cond)","CAP","494.2240270974915","TON"
"Fuel Comb. Other","CA","06","Santa Cruz","087","PM2.5 Primary (Filt + Cond)","CAP","469.85079023","TON"
"Fuel Comb. Other","CA","06","Shasta","089","PM2.5 Primary (Filt + Cond)","CAP","465.66148203","TON"
"Waste Disposal & Recycling","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","465.48970189718","TON"
"Fuel Comb. Other","CA","06","Orange","059","PM2.5 Primary (Filt + Cond)","CAP","461.662483233891","TON"
"Fuel Comb. Other","CA","06","San Luis Obispo","079","PM2.5 Primary (Filt + Cond)","CAP","461.3952695712","TON"
"Other Industrial Processes","CA","06","Alameda","001","PM2.5 Primary (Filt + Cond)","CAP","459.26256758","TON"
"Metals Processing","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","454.313022917","TON"
"Fuel Comb. Other","CA","06","El Dorado","017","PM2.5 Primary (Filt + Cond)","CAP","447.1201739","TON"
"Highway Vehicles","CA","06","Alameda","001","PM2.5 Primary (Filt + Cond)","CAP","442.77514651","TON"
"Waste Disposal & Recycling","CA","06","Lake","033","PM2.5 Primary (Filt + Cond)","CAP","439.9852","TON"
"Off-Highway","CA","06","Orange","059","PM2.5 Primary (Filt + Cond)","CAP","435.89293925403","TON"
"Fuel Comb. Other","CA","06","Monterey","053","PM2.5 Primary (Filt + Cond)","CAP","431.73773515","TON"
"Waste Disposal & Recycling","CA","06","Siskiyou","093","PM2.5 Primary (Filt + Cond)","CAP","430.5174","TON"
"Miscellaneous","CA","06","Sutter","101","PM2.5 Primary (Filt + Cond)","CAP","428.447643076521","TON"
"Highway Vehicles","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","425.19115489","TON"
"Highway Vehicles","CA","06","Santa Clara","085","PM2.5 Primary (Filt + Cond)","CAP","405.575197","TON"
"Fuel Comb. Other","CA","06","Humboldt","023","PM2.5 Primary (Filt + Cond)","CAP","393.6687697","TON"
"Fuel Comb. Other","CA","06","Solano","095","PM2.5 Primary (Filt + Cond)","CAP","386.616940776","TON"
"Miscellaneous","CA","06","Amador","005","PM2.5 Primary (Filt + Cond)","CAP","375.43963600137","TON"
"Fuel Comb. Other","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","367.916523616668","TON"
"Highway Vehicles","CA","06","Sacramento","067","PM2.5 Primary (Filt + Cond)","CAP","364.54668205","TON"
"Other Industrial Processes","CA","06","Amador","005","PM2.5 Primary (Filt + Cond)","CAP","363.89388498","TON"
"Fuel Comb. Other","CA","06","Santa Barbara","083","PM2.5 Primary (Filt + Cond)","CAP","350.465656244135","TON"
"Off-Highway","CA","06","Riverside","065","PM2.5 Primary (Filt + Cond)","CAP","347.98813056515","TON"
"Other Industrial Processes","CA","06","Stanislaus","099","PM2.5 Primary (Filt + Cond)","CAP","344.7012894978481","TON"
"Fuel Comb. Other","CA","06","Plumas","063","PM2.5 Primary (Filt + Cond)","CAP","340.736895315","TON"
"Other Industrial Processes","CA","06","San Joaquin","077","PM2.5 Primary (Filt + Cond)","CAP","336.4909299601","TON"
"Off-Highway","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","336.14857942362","TON"
"Fuel Comb. Other","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","333.9815575808561","TON"
