"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Petroleum & Related Industries","RI","44","Providence","007","Ammonia","CAP",".044435","TON"
"Miscellaneous","RI","44","Newport","005","Sulfur Dioxide","CAP",".036011504589","TON"
"Waste Disposal & Recycling","RI","44","Bristol","001","Sulfur Dioxide","CAP",".0295222144","TON"
"Chemical & Allied Product Mfg","RI","44","Kent","003","Ammonia","CAP",".02855","TON"
"Other Industrial Processes","RI","44","Kent","003","Sulfur Dioxide","CAP",".020845","TON"
"Fuel Comb. Elec. Util.","RI","44","Washington","009","Sulfur Dioxide","CAP",".02","TON"
"Storage & Transport","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP",".01963088","TON"
"Chemical & Allied Product Mfg","RI","44","Washington","009","Ammonia","CAP",".006465","TON"
"Solvent Utilization","RI","44","Kent","003","PM10 Primary (Filt + Cond)","CAP",".002595","TON"
"Solvent Utilization","RI","44","Kent","003","PM2.5 Primary (Filt + Cond)","CAP",".002595","TON"
"Miscellaneous","RI","44","Bristol","001","Nitrogen Oxides","CAP",".000695711394","TON"
"Miscellaneous","RI","44","Bristol","001","Sulfur Dioxide","CAP",".000296318192","TON"
"Miscellaneous","RI","44","Bristol","001","Lead","CAP/HAP",".00004595504","LB"
"Other Industrial Processes","RI","44","Kent","003","Ammonia","CAP",".000025","TON"
"Petroleum & Related Industries","RI","44","Washington","009","Ammonia","CAP",".000005","TON"
"Storage & Transport","RI","44","Bristol","001","Lead","CAP/HAP","0","LB"
