"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Waste Disposal & Recycling","CT","09","Hartford","003","PM10 Primary (Filt + Cond)","CAP","28.61257299","TON"
"Fuel Comb. Industrial","CT","09","Tolland","013","PM10 Primary (Filt + Cond)","CAP","28.5400431934","TON"
"Other Industrial Processes","CT","09","Fairfield","001","Lead","CAP/HAP","27.85","LB"
"Fuel Comb. Industrial","CT","09","Fairfield","001","Sulfur Dioxide","CAP","27.0483554516","TON"
"Fuel Comb. Elec. Util.","CT","09","Fairfield","001","PM10 Primary (Filt + Cond)","CAP","26.776884347","TON"
"Off-Highway","CT","09","Tolland","013","PM10 Primary (Filt + Cond)","CAP","26.6976004775","TON"
"Highway Vehicles","CT","09","Windham","015","PM2.5 Primary (Filt + Cond)","CAP","25.718969396443","TON"
"Waste Disposal & Recycling","CT","09","Hartford","003","PM2.5 Primary (Filt + Cond)","CAP","25.3220698229","TON"
"Off-Highway","CT","09","Tolland","013","PM2.5 Primary (Filt + Cond)","CAP","25.06570846","TON"
"Fuel Comb. Other","CT","09","Windham","015","Ammonia","CAP","24.943828286","TON"
"Fuel Comb. Industrial","CT","09","Tolland","013","PM2.5 Primary (Filt + Cond)","CAP","24.7759095937","TON"
"Fuel Comb. Elec. Util.","CT","09","Middlesex","007","PM10 Primary (Filt + Cond)","CAP","24.7666425295","TON"
"Off-Highway","CT","09","Windham","015","PM10 Primary (Filt + Cond)","CAP","24.239686077978","TON"
"Fuel Comb. Industrial","CT","09","Windham","015","Volatile Organic Compounds","CAP","24.1817431158","TON"
"Fuel Comb. Other","CT","09","Tolland","013","Lead","CAP/HAP","23.98462926","LB"
"Highway Vehicles","CT","09","New London","011","Sulfur Dioxide","CAP","23.92835877229","TON"
"Other Industrial Processes","CT","09","Litchfield","005","Volatile Organic Compounds","CAP","23.90516276","TON"
"Fuel Comb. Elec. Util.","CT","09","Middlesex","007","PM2.5 Primary (Filt + Cond)","CAP","23.6700925298","TON"
"Fuel Comb. Elec. Util.","CT","09","Fairfield","001","PM2.5 Primary (Filt + Cond)","CAP","23.495580997","TON"
"Fuel Comb. Industrial","CT","09","New Haven","009","Sulfur Dioxide","CAP","23.48461626245","TON"
"Miscellaneous","CT","09","Hartford","003","Volatile Organic Compounds","CAP","23.37145709383","TON"
"Off-Highway","CT","09","Windham","015","PM2.5 Primary (Filt + Cond)","CAP","22.475185870378","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","Nitrogen Oxides","CAP","22.322234","TON"
"Other Industrial Processes","CT","09","Hartford","003","Ammonia","CAP","22.221115","TON"
"Fuel Comb. Elec. Util.","CT","09","Middlesex","007","Ammonia","CAP","21.239478965","TON"
"Fuel Comb. Industrial","CT","09","New London","011","Volatile Organic Compounds","CAP","20.6444385848","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","Carbon Monoxide","CAP","20.206283565","TON"
"Other Industrial Processes","CT","09","New London","011","Volatile Organic Compounds","CAP","20.08851367","TON"
"Fuel Comb. Industrial","CT","09","Hartford","003","Ammonia","CAP","19.446357865","TON"
"Fuel Comb. Other","CT","09","Windham","015","Lead","CAP/HAP","19.43198075","LB"
"Miscellaneous","CT","09","Hartford","003","Carbon Monoxide","CAP","19.1672651971","TON"
"Waste Disposal & Recycling","CT","09","Litchfield","005","Carbon Monoxide","CAP","16.91699","TON"
"Fuel Comb. Industrial","CT","09","Hartford","003","Lead","CAP/HAP","16.835392612","LB"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","PM10 Primary (Filt + Cond)","CAP","16.45379836636","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","PM2.5 Primary (Filt + Cond)","CAP","16.45379836636","TON"
"Waste Disposal & Recycling","CT","09","New London","011","Ammonia","CAP","16.3259126","TON"
"Waste Disposal & Recycling","CT","09","New London","011","PM10 Primary (Filt + Cond)","CAP","15.5893644","TON"
"Highway Vehicles","CT","09","Middlesex","007","Sulfur Dioxide","CAP","15.240091032834","TON"
"Fuel Comb. Industrial","CT","09","Fairfield","001","Lead","CAP/HAP","14.76916814","LB"
"Chemical & Allied Product Mfg","CT","09","New Haven","009","Volatile Organic Compounds","CAP","14.6195373","TON"
"Fuel Comb. Industrial","CT","09","Fairfield","001","Ammonia","CAP","14.051304532","TON"
"Other Industrial Processes","CT","09","Hartford","003","Lead","CAP/HAP","14.0411","LB"
"Fuel Comb. Elec. Util.","CT","09","Windham","015","Volatile Organic Compounds","CAP","13.87098275","TON"
"Other Industrial Processes","CT","09","Middlesex","007","Volatile Organic Compounds","CAP","13.78607875","TON"
"Waste Disposal & Recycling","CT","09","New London","011","PM2.5 Primary (Filt + Cond)","CAP","13.199740799","TON"
"Waste Disposal & Recycling","CT","09","New Haven","009","Ammonia","CAP","12.935835","TON"
"Fuel Comb. Elec. Util.","CT","09","Middlesex","007","Volatile Organic Compounds","CAP","12.891328792","TON"
"Fuel Comb. Elec. Util.","CT","09","New London","011","Carbon Monoxide","CAP","12.890694938","TON"
"Waste Disposal & Recycling","CT","09","Windham","015","Carbon Monoxide","CAP","12.66399","TON"
"Waste Disposal & Recycling","CT","09","Tolland","013","Carbon Monoxide","CAP","12.53699","TON"
"Fuel Comb. Industrial","CT","09","New Haven","009","Ammonia","CAP","12.434386991","TON"
"Highway Vehicles","CT","09","Tolland","013","Sulfur Dioxide","CAP","12.383125104407","TON"
"Fuel Comb. Industrial","CT","09","New Haven","009","Lead","CAP/HAP","12.35887511","LB"
"Highway Vehicles","CT","09","Litchfield","005","Sulfur Dioxide","CAP","11.787209530401","TON"
"Waste Disposal & Recycling","CT","09","Windham","015","Volatile Organic Compounds","CAP","11.433187","TON"
"Fuel Comb. Industrial","CT","09","New London","011","Sulfur Dioxide","CAP","11.1798947871","TON"
"Fuel Comb. Elec. Util.","CT","09","Fairfield","001","Volatile Organic Compounds","CAP","10.683868838","TON"
"Highway Vehicles","CT","09","Windham","015","Sulfur Dioxide","CAP","10.598481031421","TON"
