"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb. Other","VT","50","Grand Isle","013","PM10 Primary (Filt + Cond)","CAP","56.4937523277","TON"
"Fuel Comb. Other","VT","50","Grand Isle","013","PM2.5 Primary (Filt + Cond)","CAP","56.216059315","TON"
"Off-Highway","VT","50","Rutland","021","PM2.5 Primary (Filt + Cond)","CAP","55.987362067466","TON"
"Natural Resources","VT","50","Washington","023","Nitrogen Oxides","CAP","55.19753","TON"
"Waste Disposal & Recycling","VT","50","Addison","001","PM10 Primary (Filt + Cond)","CAP","55.181507","TON"
"Fuel Comb. Other","VT","50","Washington","023","Sulfur Dioxide","CAP","54.29598511","TON"
"Solvent Utilization","VT","50","Essex","009","Volatile Organic Compounds","CAP","53.59186928","TON"
"Storage & Transport","VT","50","Caledonia","005","Volatile Organic Compounds","CAP","53.252279821","TON"
"Waste Disposal & Recycling","VT","50","Windsor","027","PM2.5 Primary (Filt + Cond)","CAP","52.3006902","TON"
"Waste Disposal & Recycling","VT","50","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","51.7170728","TON"
"Off-Highway","VT","50","Washington","023","PM10 Primary (Filt + Cond)","CAP","51.707025466046","TON"
"Fuel Comb. Other","VT","50","Windsor","027","Sulfur Dioxide","CAP","51.57279502","TON"
"Off-Highway","VT","50","Orleans","019","Lead","CAP/HAP","51.1342523","LB"
"Other Industrial Processes","VT","50","Essex","009","PM10 Primary (Filt + Cond)","CAP","50.541716325","TON"
"Waste Disposal & Recycling","VT","50","Addison","001","PM2.5 Primary (Filt + Cond)","CAP","50.258252","TON"
"Storage & Transport","VT","50","Orleans","019","Volatile Organic Compounds","CAP","49.872668668","TON"
"Miscellaneous","VT","50","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","49.3787918936232","TON"
"Off-Highway","VT","50","Washington","023","PM2.5 Primary (Filt + Cond)","CAP","49.206367582146","TON"
"Highway Vehicles","VT","50","Windsor","027","PM10 Primary (Filt + Cond)","CAP","48.5297509509","TON"
"Off-Highway","VT","50","Franklin","011","Lead","CAP/HAP","48.1864252","LB"
"Natural Resources","VT","50","Lamoille","015","Nitrogen Oxides","CAP","47.2949","TON"
"Fuel Comb. Industrial","VT","50","Caledonia","005","Nitrogen Oxides","CAP","45.99876245","TON"
"Miscellaneous","VT","50","Chittenden","007","Volatile Organic Compounds","CAP","45.810622819872","TON"
"Highway Vehicles","VT","50","Essex","009","Nitrogen Oxides","CAP","45.4233156876","TON"
