"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Waste Disposal & Recycling","MA","25","Suffolk","025","Nitrogen Oxides","CAP",".677940154","TON"
"Miscellaneous","MA","25","Berkshire","003","Nitrogen Oxides","CAP",".65747579678","TON"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","Nitrogen Oxides","CAP",".6398","TON"
"Metals Processing","MA","25","Worcester","027","Carbon Monoxide","CAP",".63","TON"
"Other Industrial Processes","MA","25","Bristol","005","Sulfur Dioxide","CAP",".6292","TON"
"Miscellaneous","MA","25","Berkshire","003","Lead","CAP/HAP",".61598367682","LB"
"Solvent Utilization","MA","25","Essex","009","Sulfur Dioxide","CAP",".6050783","TON"
"Metals Processing","MA","25","Bristol","005","Nitrogen Oxides","CAP",".6","TON"
"Off-Highway","MA","25","Hampshire","015","Ammonia","CAP",".599007449214","TON"
"Solvent Utilization","MA","25","Norfolk","021","Sulfur Dioxide","CAP",".5741487","TON"
"Fuel Comb. Elec. Util.","MA","25","Essex","009","PM10 Primary (Filt + Cond)","CAP",".5704684347","TON"
"Fuel Comb. Elec. Util.","MA","25","Essex","009","PM2.5 Primary (Filt + Cond)","CAP",".5704684347","TON"
"Miscellaneous","MA","25","Franklin","011","Nitrogen Oxides","CAP",".56041012227","TON"
"Miscellaneous","MA","25","Bristol","005","Sulfur Dioxide","CAP",".54949420993","TON"
"Petroleum & Related Industries","MA","25","Plymouth","023","Sulfur Dioxide","CAP",".5487","TON"
"Fuel Comb. Elec. Util.","MA","25","Dukes","007","Volatile Organic Compounds","CAP",".5446","TON"
"Other Industrial Processes","MA","25","Franklin","011","Nitrogen Oxides","CAP",".5064749","TON"
"Solvent Utilization","MA","25","Hampden","013","Sulfur Dioxide","CAP",".5057834","TON"
"Solvent Utilization","MA","25","Worcester","027","Lead","CAP/HAP",".5","LB"
"Fuel Comb. Elec. Util.","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP",".495085481","TON"
"Fuel Comb. Elec. Util.","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP",".494485481","TON"
"Miscellaneous","MA","25","Hampshire","015","Lead","CAP/HAP",".4908124504","LB"
"Solvent Utilization","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP",".4882548","TON"
"Storage & Transport","MA","25","Berkshire","003","Lead","CAP/HAP",".48249773","LB"
"Off-Highway","MA","25","Nantucket","019","Ammonia","CAP",".47811554562486","TON"
"Fuel Comb. Elec. Util.","MA","25","Plymouth","023","Volatile Organic Compounds","CAP",".4751","TON"
"Storage & Transport","MA","25","Essex","009","Lead","CAP/HAP",".461757986","LB"
"Solvent Utilization","MA","25","Suffolk","025","Nitrogen Oxides","CAP",".4612136","TON"
"Fuel Comb. Elec. Util.","MA","25","Dukes","007","Sulfur Dioxide","CAP",".4386","TON"
"Solvent Utilization","MA","25","Berkshire","003","Carbon Monoxide","CAP",".4160795","TON"
"Chemical & Allied Product Mfg","MA","25","Middlesex","017","PM10 Primary (Filt + Cond)","CAP",".4128","TON"
"Fuel Comb. Elec. Util.","MA","25","Essex","009","Lead","CAP/HAP",".4","LB"
"Solvent Utilization","MA","25","Bristol","005","Nitrogen Oxides","CAP",".3956281","TON"
"Storage & Transport","MA","25","Plymouth","023","Lead","CAP/HAP",".390888636","LB"
"Fuel Comb. Elec. Util.","MA","25","Hampshire","015","Carbon Monoxide","CAP",".3752","TON"
"Miscellaneous","MA","25","Hampshire","015","Nitrogen Oxides","CAP",".36878206319","TON"
"Miscellaneous","MA","25","Nantucket","019","Volatile Organic Compounds","CAP",".3661566406711","TON"
"Storage & Transport","MA","25","Suffolk","025","Lead","CAP/HAP",".36228671","LB"
"Solvent Utilization","MA","25","Plymouth","023","PM2.5 Primary (Filt + Cond)","CAP",".3557548","TON"
"Miscellaneous","MA","25","Suffolk","025","Sulfur Dioxide","CAP",".35476871974","TON"
"Miscellaneous","MA","25","Dukes","007","Sulfur Dioxide","CAP",".350034001744","TON"
