"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Fuel Comb. Other","ME","23","Lincoln","015","PM10 Primary (Filt + Cond)","CAP","244.941340849","TON"
"Fuel Comb. Other","ME","23","Lincoln","015","PM2.5 Primary (Filt + Cond)","CAP","244.102749982","TON"
"Solvent Utilization","ME","23","Knox","013","Volatile Organic Compounds","CAP","243.36012652","TON"
"Fuel Comb. Other","ME","23","Piscataquis","021","Volatile Organic Compounds","CAP","243.027768213","TON"
"Fuel Comb. Other","ME","23","Piscataquis","021","PM10 Primary (Filt + Cond)","CAP","242.4127086194","TON"
"Fuel Comb. Other","ME","23","Piscataquis","021","PM2.5 Primary (Filt + Cond)","CAP","242.0365767511","TON"
"Miscellaneous","ME","23","Piscataquis","021","Ammonia","CAP","241.1688153029","TON"
"Fuel Comb. Other","ME","23","Aroostook","003","Nitrogen Oxides","CAP","240.3151946","TON"
"Fuel Comb. Industrial","ME","23","Cumberland","005","Volatile Organic Compounds","CAP","239.668317403","TON"
"Fuel Comb. Elec. Util.","ME","23","Penobscot","019","Carbon Monoxide","CAP","239.408","TON"
"Highway Vehicles","ME","23","Sagadahoc","023","Volatile Organic Compounds","CAP","238.524794559","TON"
"Fuel Comb. Industrial","ME","23","Knox","013","PM2.5 Primary (Filt + Cond)","CAP","238.254244942","TON"
"Highway Vehicles","ME","23","Cumberland","005","PM10 Primary (Filt + Cond)","CAP","235.70313688","TON"
"Miscellaneous","ME","23","Androscoggin","001","PM2.5 Primary (Filt + Cond)","CAP","232.69847015143","TON"
"Fuel Comb. Industrial","ME","23","Washington","029","PM10 Primary (Filt + Cond)","CAP","232.0297104509","TON"
"Highway Vehicles","ME","23","Washington","029","Volatile Organic Compounds","CAP","231.770086862867","TON"
"Miscellaneous","ME","23","Oxford","017","PM2.5 Primary (Filt + Cond)","CAP","231.383357410773","TON"
"Waste Disposal & Recycling","ME","23","Cumberland","005","Volatile Organic Compounds","CAP","231.301421","TON"
"Highway Vehicles","ME","23","Lincoln","015","Volatile Organic Compounds","CAP","231.0834603924","TON"
"Highway Vehicles","ME","23","Knox","013","Volatile Organic Compounds","CAP","230.6348600218","TON"
"Off-Highway","ME","23","Sagadahoc","023","Nitrogen Oxides","CAP","229.7238617684","TON"
"Off-Highway","ME","23","Androscoggin","001","Volatile Organic Compounds","CAP","223.69110911164","TON"
"Waste Disposal & Recycling","ME","23","York","031","Volatile Organic Compounds","CAP","220.882249","TON"
"Fuel Comb. Other","ME","23","Hancock","009","Nitrogen Oxides","CAP","219.4797887","TON"
"Other Industrial Processes","ME","23","Aroostook","003","Volatile Organic Compounds","CAP","219.25165004","TON"
"Fuel Comb. Industrial","ME","23","Hancock","009","PM2.5 Primary (Filt + Cond)","CAP","218.98479668","TON"
"Miscellaneous","ME","23","Piscataquis","021","Carbon Monoxide","CAP","218.809973402658","TON"
"Off-Highway","ME","23","Kennebec","011","Lead","CAP/HAP","218.69448246","LB"
"Other Industrial Processes","ME","23","York","031","PM10 Primary (Filt + Cond)","CAP","216.0463122","TON"
"Highway Vehicles","ME","23","Franklin","007","Volatile Organic Compounds","CAP","213.247298497","TON"
"Other Industrial Processes","ME","23","Somerset","025","Volatile Organic Compounds","CAP","210.84226973","TON"
"Solvent Utilization","ME","23","Franklin","007","Volatile Organic Compounds","CAP","210.58194581","TON"
"Miscellaneous","ME","23","Cumberland","005","Carbon Monoxide","CAP","210.04851672004","TON"
"Miscellaneous","ME","23","Oxford","017","Ammonia","CAP","209.1570253","TON"
"Fuel Comb. Industrial","ME","23","Waldo","027","Nitrogen Oxides","CAP","206.81240597","TON"
"Natural Resources","ME","23","Penobscot","019","Nitrogen Oxides","CAP","206.7837","TON"
